wavelength,flux
3301.667713,5.716313E-15
3304.621799,5.469437E-15
3307.575884,4.75949e-15
3310.52997,3.63877e-15
3313.484055,3.455675E-15
3316.438141,6.05989e-15
3319.392226,7.304156E-15
3322.346312,6.971347E-15
3325.300397,7.495789E-15
3328.254483,6.265224E-15
3331.208568,5.751853E-15
3334.162654,6.436722E-15
3337.116739,6.532025E-15
3340.070825,6.556154E-15
3343.02491,5.744098E-15
3345.978996,5.516028E-15
3348.933081,5.793611E-15
3351.887167,5.707046E-15
3354.841252,5.673464E-15
3357.795338,5.776735E-15
3360.749423,6.453832E-15
3363.703509,7.250011E-15
3366.657594,7.867893E-15
3369.61168,7.608413E-15
3372.565765,8.331571E-15
3375.519851,7.668432E-15
3378.473936,7.538171E-15
3381.428022,7.293955E-15
3384.382107,7.723375E-15
3387.336193,8.212842E-15
3390.290278,8.138661E-15
3393.244364,8.31379e-15
3396.19845,8.402664E-15
3399.152535,7.44789e-15
3402.106621,6.922782E-15
3405.060706,8.173596E-15
3408.014792,8.74106e-15
3410.968877,7.891537E-15
3413.922963,7.574035E-15
3416.877048,8.196385E-15
3419.831134,8.255412E-15
3422.785219,7.611641E-15
3425.739305,7.852607E-15
3428.69339,7.873807E-15
3431.647476,8.075041E-15
3434.601561,8.314224E-15
3437.555647,8.192185E-15
3440.509732,8.208036E-15
3443.463818,8.415108E-15
3446.417903,8.2975e-15
3449.371989,8.165142E-15
3452.326074,8.573252E-15
3455.28016,8.664855E-15
3458.234245,9.040182E-15
3461.188331,8.903172E-15
3464.142416,8.541994E-15
3467.096502,8.815683E-15
3470.050587,8.938907E-15
3473.004673,9.098728E-15
3475.958758,8.989656E-15
3478.912844,9.421752E-15
3481.866929,9.265497E-15
3484.821015,8.813313E-15
3487.7751,9.028501E-15
3490.729186,9.426608E-15
3493.683271,9.729525E-15
3496.637357,9.817441E-15
3499.591442,9.530903E-15
3502.545528,9.074218E-15
3505.499613,9.17072e-15
3508.453699,9.573786E-15
3511.407784,9.297337E-15
3514.36187,8.859406E-15
3517.315955,9.067368E-15
3520.270041,9.147575E-15
3523.224126,9.035311E-15
3526.178212,8.859204E-15
3529.132297,8.961581E-15
3532.086383,9.250535E-15
